"","ppg","time"
"1",83.69512,862.8818
"2",83.563286,862.8951
"3",83.26299,862.9084
"4",82.85283,862.9217
"5",82.38407,862.935
"6",81.89578,862.9483
"7",81.42458,862.9616
"8",80.99245,862.9749
"9",80.60914,862.9882
"10",80.28199,863.0015
"11",80.01587,863.01483
"12",79.80835,863.02814
"13",79.67162,863.04144
"14",79.603264,863.05475
"15",79.603264,863.06805
"16",79.66918,863.08136
"17",79.78638,863.09467
"18",79.937744,863.108
"19",80.096436,863.1213
"20",80.24536,863.1346
"21",80.360115,863.1479
"22",80.42603,863.1612
"23",80.43824,863.1745
"24",80.396736,863.1878
"25",80.31373,863.2011
"26",80.198975,863.2144
"27",80.062256,863.2277
"28",79.923096,863.241
"29",79.78638,863.25433
"30",79.65453,863.26764
"31",79.534904,863.28094
"32",79.429924,863.29425
"33",79.34203,863.30756
"34",79.26879,863.32086
"35",79.21263,863.33417
"36",79.17113,863.3475
"37",79.14427,863.3608
"38",79.12474,863.3741
"39",79.11009,863.3874
"40",79.093,863.4007
"41",79.078354,863.414
"42",79.05882,863.4273
"43",79.044174,863.4406
"44",79.03441,863.4539
"45",79.02464,863.4672
"46",79.01488,863.4805
"47",79.00755,863.49384
"48",79.00267,863.50714
"49",79.00511,863.52045
"50",79.01488,863.53375
"51",79.03197,863.54706
"52",79.04906,863.56036
"53",79.063705,863.57367
"54",79.07591,863.587
"55",79.08568,863.6003
"56",79.09544,863.6136
"57",79.097885,863.6269
"58",79.097885,863.6402
"59",79.08812,863.6535
"60",79.07591,863.6668
"61",79.10521,863.6801
"62",79.24437,863.6934
"63",79.54955,863.7067
"64",80.0647,863.72003
"65",80.762955,863.73334
"66",81.56863,863.74664
"67",82.36942,863.75995
"68",83.04814,863.77325
"69",83.51934,863.78656
"70",83.758606,863.79987
"71",83.77814,863.8132
"72",83.60479,863.8265
"73",83.28985,863.8398
"74",82.87724,863.8531
"75",82.41093,863.8664
"76",81.9324,863.8797
"77",81.47341,863.893
"78",81.05104,863.9063
"79",80.6775,863.9196
"80",80.36256,863.9329
"81",80.10132,863.9462
"82",79.906006,863.95953
"83",79.77661,863.97284
"84",79.71557,863.98615
"85",79.71801,863.99945
"86",79.781494,864.01276
"87",79.89136,864.02606
"88",80.028076,864.03937
"89",80.17456,864.0527
"90",80.308846,864.066
"91",80.40894,864.0793
"92",80.45777,864.0926
"93",80.45777,864.1059
"94",80.4065,864.1192
"95",80.31617,864.1325
"96",80.198975,864.1458
"97",80.0647,864.1591
"98",79.920654,864.1724
"99",79.77661,864.1857
"100",79.63744,864.19904
"101",79.51049,864.21234
"102",79.398186,864.22565
"103",79.30541,864.23895
"104",79.22972,864.25226
"105",79.17113,864.26556
"106",79.12962,864.2789
"107",79.097885,864.2922
"108",79.07591,864.3055
"109",79.05882,864.3188
"110",79.04173,864.3321
"111",79.01976,864.3454
"112",78.995346,864.3587
"113",78.97337,864.372
"114",78.95384,864.3853
"115",78.941635,864.3986
"116",78.93431,864.4119
"117",78.93187,864.42523
"118",78.92943,864.43854
"119",78.924545,864.45184
"120",78.91966,864.46515
"121",78.91722,864.47845
"122",78.91966,864.49176
"123",78.92943,864.50507
"124",78.94408,864.5184
"125",78.96361,864.5317
"126",78.97337,864.545
"127",78.975815,864.5583
"128",78.97093,864.5716
"129",78.96849,864.5849
