"","ppg"
"400",79.49096
"401",79.3225
"402",79.15892
"403",79.012436
"404",78.887924
"405",78.785385
"406",78.70725
"407",78.64622
"408",78.59983
"409",78.56077
"410",78.53147
"411",78.5095
"412",78.487526
"413",78.46555
"414",78.44846
"415",78.433815
"416",78.41917
"417",78.40696
"418",78.39475
"419",78.38499
"420",78.37278
"421",78.35813
"422",78.33616
"423",78.30686
"424",78.26292
"425",78.21164
"426",78.1799
"427",78.23117
"428",78.45335
"429",78.94408
"430",79.725334
"431",80.73121
"432",81.8201
"433",82.80644
"434",83.53643
"435",83.92218
"436",83.9881
"437",83.81964
"438",83.51934
"439",83.175095
"440",82.85283
"441",82.58915
"442",82.38651
"443",82.22293
"444",82.07156
"445",81.89334
"446",81.67849
"447",81.427025
"448",81.15602
"449",80.89967
"450",80.68482
"451",80.516365
"452",80.38941
"453",80.28687
"454",80.19409
"455",80.09888
"456",79.98901
"457",79.8645
"458",79.725334
"459",79.57397
"460",79.41039
"461",79.2517
"462",79.097885
"463",78.96117
"464",78.84154
"465",78.74387
"466",78.660866
"467",78.59251
"468",78.536354
"469",78.487526
"470",78.44358
"471",78.40696
"472",78.37278
"473",78.34348
"474",78.314186
"475",78.28733
"476",78.26536
"477",78.25071
"478",78.24338
"479",78.24094
"480",78.24338
"481",78.24094
"482",78.23361
"483",78.21408
"484",78.184784
"485",78.14572
"486",78.101776
"487",78.0676
"488",78.09445
"489",78.27024
"490",78.68772
"491",79.398186
"492",80.360115
"493",81.45388
"494",82.49882
"495",83.32403
"496",83.81964
"497",83.97833
"498",83.86603
"499",83.58526
"500",83.228806
"501",82.87724
"502",82.5745
"503",82.337685
"504",82.159454
"505",82.00809
"506",81.85184
"507",81.66384
"508",81.44167
"509",81.19264
"510",80.9485
"511",80.73365
"512",80.56031
"513",80.430916
"514",80.33814
"515",80.2649
"516",80.20386
"517",80.1355
"518",80.059814
"519",79.95972
"520",79.83765
"521",79.69848
"522",79.554436
"523",79.415276
"524",79.28588
"525",79.17601
"526",79.080795
"527",79.00267
"528",78.93919
"529",78.89281
"530",78.86839
"531",78.86107
"532",78.86107
"533",78.86839
"534",78.87816
"535",78.890366
"536",78.905014
"537",78.92943
"538",78.96361
"539",78.995346
"540",79.0222
"541",79.03197
"542",79.02464
"543",78.992905
"544",78.94652
"545",78.890366
"546",78.83177
"547",78.7805
"548",78.746315
"549",78.765854
"550",78.90257
"551",79.237045
"552",79.82788
"553",80.66285
"554",81.64675
"555",82.62089
"556",83.4168
"557",83.9173
"558",84.088196
"559",83.983215
"560",83.6878
"561",83.29717
"562",82.88457
"563",82.50614
"564",82.178986
"565",81.9202
"566",81.69802
"567",81.48806
"568",81.26833
"569",81.02907
"570",80.77516
"571",80.52369
"572",80.29664
"573",80.111084
"574",79.96948
"575",79.852295
"576",79.74975
"577",79.64477
"578",79.52758
"579",79.39086
"580",79.23949
"581",79.080795
"582",78.91966
"583",78.765854
"584",78.61692
"585",78.47532
"586",78.34104
"587",78.221405
"588",78.118866
"589",78.03342
"590",77.9675
"591",77.92111
"592",77.88937
"593",77.86496
"594",77.84787
"595",77.84299
"596",77.838104
"597",77.83322
"598",77.82834
"599",77.823456
"600",77.81369
"601",77.806366
"602",77.80148
"603",77.7966
"604",77.78439
"605",77.7673
"606",77.74532
"607",77.713585
"608",77.67208
"609",77.6379
"610",77.6379
"611",77.74044
"612",78.048065
"613",78.63889
"614",79.51537
"615",80.58228
"616",81.68093
"617",82.62821
"618",83.28008
"619",83.5877
"620",83.59014
"621",83.38018
"622",83.055466
"623",82.69413
"624",82.35233
"625",82.06912
"626",81.846954
"627",81.66628
"628",81.50515
"629",81.339134
"630",81.1487
"631",80.94118
"632",80.72877
"633",80.53101
"634",80.36744
"635",80.24048
"636",80.15015
"637",80.08667
"638",80.04028
"639",79.99878
"640",79.94751
"641",79.87671
"642",79.783936
"643",79.674065
"644",79.54467
"645",79.41039
"646",79.28344
"647",79.168686
"648",79.06859
"649",78.98802
"650",78.92699
"651",78.887924
"652",78.85863
"653",78.836655
"654",78.8098
"655",78.77074
"656",78.71946
"657",78.65598
"658",78.590065
"659",78.52903
"660",78.470436
"661",78.41428
"662",78.35325
"663",78.29221
"664",78.22873
"665",78.170135
"666",78.11154
"667",78.05783
"668",78.00168
"669",77.95041
"670",77.92355
"671",77.99191
"672",78.24826
"673",78.77562
"674",79.57885
"675",80.584724
"676",81.63943
"677",82.55985
"678",83.20683
"679",83.5169
"680",83.526665
"681",83.30938
"682",82.96025
"683",82.55985
"684",82.16922
"685",81.829865
"686",81.5613
"687",81.35134
"688",81.17311
"689",80.99245
"690",80.79469
"691",80.58228
"692",80.37232
"693",80.18921
"694",80.042725
"695",79.940186
"696",79.871826
"697",79.82056
"698",79.76929
"699",79.708244
"700",79.635
"701",79.54223
"702",79.43725
"703",79.32006
"704",79.1931
"705",79.05882
"706",78.91966
"707",78.7805
"708",78.6511
"709",78.54856
"710",78.467995
"711",78.416725
"712",78.38987
"713",78.380104
"714",78.37522
"715",78.382545
"716",78.39475
"717",78.4094
"718",78.433815
"719",78.46067
"720",78.487526
"721",78.50706
"722",78.51682
"723",78.51682
"724",78.50706
"725",78.49485
"726",78.4802
"727",78.47532
"728",78.5095
"729",78.658424
"730",79.01488
"731",79.64233
"732",80.53834
"733",81.59548
"734",82.65507
"735",83.54131
"736",84.1297
"737",84.38117
"738",84.351875
"739",84.12482
"740",83.790344
"741",83.41436
"742",83.06035
"743",82.757614
"744",82.513466
"745",82.31815
"746",82.142365
"747",81.95682
"748",81.74441
"749",81.50515
"750",81.26101
"751",81.03883
"752",80.85817
"753",80.723885
"754",80.62623
"755",80.5481
"756",80.462654
"757",80.35767
"758",80.22827
"759",80.076904
"760",79.91089
"761",79.73998
"762",79.5642
"763",79.3933
"764",79.22972
"765",79.078354
"766",78.941635
"767",78.83421
"768",78.74876
"769",78.68284
"770",78.63401
"771",78.59495
"772",78.56809
"773",78.54856
"774",78.536354
"775",78.52903
"776",78.52415
"777",78.5095
"778",78.49241
"779",78.46067
"780",78.416725
"781",78.35813
"782",78.294655
"783",78.23117
"784",78.18967
"785",78.22629
"786",78.41917
"787",78.84886
"788",79.54223
"789",80.45045
"790",81.45388
"791",82.38651
"792",83.09209
"793",83.492485
"794",83.59014
"795",83.45098
"796",83.16777
"797",82.828415
"798",82.50614
"799",82.230255
"800",82.01297
"801",81.84451
"802",81.6907
"803",81.52468
