"","ppg","time"
"1",80.042725,765.6727
"2",80.025635,765.68616
"3",80.0061,765.6996
"4",79.97925,765.71277
"5",79.94751,765.72595
"6",79.91333,765.7394
"7",79.88159,765.7528
"8",79.85718,765.766
"9",79.83276,765.7792
"10",79.815674,765.7926
"11",79.801025,765.806
"12",79.79126,765.8192
"13",79.783936,765.8324
"14",79.77661,765.8458
"15",79.76929,765.85925
"16",79.76196,765.87244
"17",79.75464,765.8856
"18",79.74731,765.89905
"19",79.744865,765.9125
"20",79.744865,765.92566
"21",79.744865,765.93884
"22",79.73754,765.9523
"23",79.73022,765.9657
"24",79.7351,765.9789
"25",79.766846,765.99207
"26",79.84497,766.0055
"27",79.96704,766.0189
"28",80.12085,766.0321
"29",80.289314,766.0453
"30",80.4358,766.0587
"31",80.54078,766.07214
"32",80.59449,766.0853
"33",80.601814,766.0985
"34",80.5774,766.11194
"35",80.53834,766.12537
"36",80.48951,766.13855
"37",80.44068,766.15173
"38",80.394295,766.16516
"39",80.35279,766.1786
"40",80.31617,766.1918
"41",80.28199,766.20496
"42",80.2478,766.2184
"43",80.21118,766.2318
"44",80.16724,766.245
"45",80.12329,766.2582
"46",80.08667,766.2716
"47",80.059814,766.28503
"48",80.04761,766.2982
"49",80.04761,766.3114
"50",80.04761,766.3248
"51",80.05005,766.33826
"52",80.04761,766.35144
"53",80.03784,766.3646
"54",80.025635,766.37805
"55",80.008545,766.3915
"56",79.98413,766.40466
"57",79.96216,766.41785
"58",79.937744,766.4313
"59",79.91577,766.4447
"60",79.8938,766.4579
"61",79.869385,766.47107
"62",79.84741,766.4845
"63",79.82544,766.4979
"64",79.80591,766.5111
"65",79.7937,766.5243
"66",79.781494,766.5377
"67",79.76929,766.55115
"68",79.7522,766.56433
"69",79.73266,766.5775
"70",79.71801,766.59094
"71",79.70336,766.6044
"72",79.69848,766.61755
"73",79.69604,766.63074
"74",79.69604,766.64417
"75",79.691154,766.6576
"76",79.68139,766.6708
"77",79.6643,766.68396
"78",79.64233,766.6974
"79",79.622795,766.7108
"80",79.61059,766.724
"81",79.62768,766.7372
"82",79.68871,766.7506
"83",79.79614,766.76404
"84",79.940186,766.7772
"85",80.10376,766.7904
"86",80.26002,766.80383
"87",80.38453,766.81726
"88",80.462654,766.83044
"89",80.49439,766.8436
"90",80.48951,766.85706
"91",80.45289,766.8705
"92",80.4065,766.88367
"93",80.35279,766.89685
"94",80.308846,766.9103
"95",80.26978,766.9237
"96",80.235596,766.9369
"97",80.201416,766.9501
"98",80.16724,766.9635
"99",80.128174,766.9769
"100",80.08667,766.9901
"101",80.05249,767.0033
"102",80.03052,767.0167
"103",80.02319,767.03015
"104",80.025635,767.04333
"105",80.03296,767.0565
"106",80.045166,767.06995
"107",80.05005,767.0834
"108",80.05005,767.09656
"109",80.04028,767.10974
"110",80.02319,767.12317
"111",80.00122,767.1366
"112",79.97681,767.1498
"113",79.954834,767.16296
"114",79.9353,767.1764
"115",79.91333,767.1898
"116",79.886475,767.203
"117",79.85474,767.2162
"118",79.82056,767.2296
"119",79.78882,767.24304
"120",79.76196,767.2562
"121",79.742424,767.2694
"122",79.73266,767.28284
"123",79.725334,767.29626
"124",79.725334,767.30945
"125",79.72045,767.32263
"126",79.72045,767.33606
"127",79.71801,767.3495
"128",79.71801,767.3627
"129",79.71313,767.37585
"130",79.71313,767.3893
"131",79.725334,767.4027
"132",79.75952,767.4159
"133",79.82544,767.4291
"134",79.92798,767.4425
"135",80.05493,767.45593
"136",80.198975,767.4691
"137",80.32838,767.4823
"138",80.43336,767.4957
"139",80.49683,767.50916
"140",80.52125,767.52234
"141",80.5066,767.5355
"142",80.46754,767.54895
"143",80.411385,767.5624
"144",80.35523,767.57556
"145",80.30152,767.58875
"146",80.25269,767.6022
"147",80.21118,767.6156
"148",80.17456,767.6288
"149",80.13794,767.64197
"150",80.09888,767.6554
"151",80.059814,767.6688
"152",80.025635,767.682
"153",80.00122,767.6952
"154",79.98901,767.7086
"155",79.98657,767.72205
"156",79.99634,767.7352
"157",80.008545,767.7484
"158",80.01587,767.76184
"159",80.01343,767.77527
"160",80.00366,767.78845
"161",79.98657,767.80164
"162",79.9646,767.81506
"163",79.937744,767.8285
"164",79.91089,767.8417
"165",79.88159,767.85486
"166",79.85474,767.8683
"167",79.82788,767.8817
"168",79.801025,767.8949
"169",79.77905,767.9081
"170",79.764404,767.9215
"171",79.7522,767.93494
"172",79.73754,767.9481
"173",79.73022,767.9613
"174",79.71801,767.97473
"175",79.7058,767.98816
"176",79.691154,768.00134
"177",79.68139,768.0145
"178",79.674065,768.02795
"179",79.66918,768.0414
"180",79.66918,768.05457
"181",79.674065,768.06775
"182",79.67895,768.0812
"183",79.68139,768.0946
"184",79.67895,768.1078
"185",79.66918,768.121
"186",79.656975,768.1344
"187",79.64721,768.1478
"188",79.656975,768.161
"189",79.691154,768.1742
"190",79.766846,768.1876
"191",79.88403,768.20105
"192",80.03784,768.21423
"193",80.20386,768.2274
"194",80.365,768.24084
"195",80.49439,768.2543
"196",80.5774,768.26746
"197",80.61158,768.28064
"198",80.6067,768.29407
"199",80.5774,768.3075
"200",80.52857,768.3207
"201",80.479744,768.33386
"202",80.4358,768.3473
"203",80.39918,768.3607
"204",80.36744,768.3739
"205",80.33814,768.3871
"206",80.31129,768.4005
"207",80.27955,768.41394
"208",80.23804,768.4271
"209",80.19165,768.4403
"210",80.14526,768.45374
"211",80.10132,768.46716
"212",80.0647,768.48035
"213",80.045166,768.4935
"214",80.03296,768.50696
"215",80.028076,768.5204
"216",80.02319,768.53357
"217",80.01587,768.54675
"218",80.00122,768.5602
"219",79.97925,768.5736
"220",79.95239,768.5868
"221",79.923096,768.6
"222",79.89136,768.6134
"223",79.86206,768.62683
"224",79.835205,768.64
"225",79.81079,768.6532
"226",79.78882,768.6666
"227",79.77417,768.68005
"228",79.75952,768.69324
"229",79.74731,768.7064
"230",79.7351,768.71985
"231",79.71801,768.7333
"232",79.69604,768.74646
"233",79.67895,768.75964
"234",79.66674,768.7731
"235",79.656975,768.7865
"236",79.65209,768.7997
"237",79.64721,768.81287
"238",79.64477,768.8263
"239",79.63744,768.8397
"240",79.63256,768.8529
"241",79.63256,768.8661
"242",79.63012,768.8795
"243",79.62768,768.89294
"244",79.62768,768.9061
"245",79.62768,768.9193
"246",79.622795,768.93274
"247",79.61547,768.94617
"248",79.60815,768.95935
"249",79.603264,768.97253
"250",79.61791,768.98596
"251",79.66918,768.9994
"252",79.766846,769.0126
"253",79.90845,769.02576
"254",80.076904,769.0392
"255",80.2478,769.0526
"256",80.39918,769.0658
"257",80.50904,769.079
"258",80.57252,769.0924
"259",80.587166,769.10583
"260",80.56519,769.119
"261",80.516365,769.1322
"262",80.45533,769.1456
"263",80.38941,769.15906
"264",80.33082,769.17224
"265",80.28687,769.1854
"266",80.25025,769.19885
"267",80.22095,769.2123
"268",80.19409,769.22546
"269",80.164795,769.23865
"270",80.128174,769.2521
"271",80.08667,769.2655
"272",80.04761,769.2787
"273",80.01831,769.2919
"274",80.00122,769.3053
"275",79.99634,769.3187
"276",79.99878,769.3319
"277",80.00366,769.3451
"278",80.00122,769.3585
"279",79.9939,769.37195
"280",79.97681,769.38513
"281",79.95239,769.3983
"282",79.923096,769.41174
"283",79.888916,769.4252
"284",79.85718,769.43835
"285",79.83276,769.45154
"286",79.81079,769.46497
"287",79.7937,769.4784
"288",79.77661,769.4916
"289",79.76196,769.50476
"290",79.744865,769.5182
"291",79.727776,769.5316
"292",79.71313,769.5448
"293",79.70336,769.558
"294",79.691154,769.5714
"295",79.68383,769.58484
"296",79.68139,769.598
"297",79.68139,769.6112
"298",79.68139,769.62463
"299",79.67895,769.63806
"300",79.67895,769.65125
"301",79.674065,769.6644
"302",79.66674,769.67786
"303",79.65942,769.6913
"304",79.65453,769.70447
"305",79.64721,769.71765
"306",79.64721,769.7311
"307",79.64721,769.7445
"308",79.64965,769.7577
"309",79.64721,769.7709
"310",79.639885,769.7843
"311",79.62524,769.7977
"312",79.61547,769.8109
"313",79.622795,769.8241
"314",79.65942,769.8375
"315",79.7351,769.85095
"316",79.85718,769.86414
"317",80.01343,769.8773
"318",80.18921,769.89075
"319",80.360115,769.9042
"320",80.49683,769.91736
"321",80.584724,769.93054
"322",80.61646,769.944
"323",80.601814,769.9574
"324",80.55543,769.9706
"325",80.48951,769.98376
"326",80.41871,769.9972
"327",80.35767,770.0106
"328",80.306404,770.0238
"329",80.26978,770.037
"330",80.2478,770.0504
"331",80.23071,770.06384
"332",80.20874,770.077
"333",80.17944,770.0902
"334",80.14282,770.10364
"335",80.10132,770.11707
"336",80.0647,770.13025
"337",80.03784,770.14343
"338",80.02319,770.15686
"339",80.02075,770.1703
"340",80.02075,770.1835
"341",80.01831,770.19666
"342",80.008545,770.2101
"343",79.9939,770.2235
"344",79.971924,770.2367
"345",79.94751,770.2499
"346",79.91577,770.2633
"347",79.886475,770.27673
"348",79.86206,770.2899
"349",79.84009,770.3031
"350",79.823,770.3165
"351",79.81323,770.32996
"352",79.80347,770.34314
"353",79.79126,770.3563
"354",79.77661,770.36975
"355",79.75952,770.3832
"356",79.744865,770.39636
"357",79.7351,770.40955
"358",79.725334,770.423
"359",79.72045,770.4364
"360",79.71313,770.4496
"361",79.708244,770.46277
"362",79.70336,770.4762
"363",79.69848,770.4896
"364",79.693596,770.5028
"365",79.68871,770.516
"366",79.68627,770.5294
"367",79.68871,770.54285
"368",79.693596,770.556
"369",79.70092,770.5692
"370",79.7058,770.58264
"371",79.7058,770.59607
"372",79.69848,770.60925
"373",79.68871,770.62244
"374",79.676506,770.63586
"375",79.6643,770.6493
"376",79.65942,770.6625
"377",79.66186,770.67566
"378",79.693596,770.6891
"379",79.766846,770.7025
"380",79.888916,770.7157
"381",80.05005,770.7289
"382",80.22827,770.7423
"383",80.396736,770.75574
"384",80.533455,770.7689
"385",80.618904,770.7821
"386",80.65064,770.79553
"387",80.638435,770.80896
"388",80.59449,770.82214
"389",80.533455,770.8353
"390",80.46754,770.84875
"391",80.40894,770.8622
"392",80.365,770.87537
"393",80.3357,770.88855
"394",80.31617,770.902
"395",80.29908,770.9154
"396",80.27955,770.9286
"397",80.255135,770.9418
"398",80.218506,770.9552
"399",80.181885,770.9686
"400",80.14526,770.9818
"401",80.11841,770.995
"402",80.1062,771.0084
"403",80.09888,771.02185
"404",80.096436,771.03503
"405",80.096436,771.0482
"406",80.093994,771.06165
"407",80.08423,771.0751
"408",80.0647,771.08826
"409",80.045166,771.10144
"410",80.01587,771.11487
"411",79.98657,771.1283
"412",79.954834,771.1415
"413",79.92554,771.15466
"414",79.89868,771.1681
"415",79.871826,771.1815
"416",79.84741,771.1947
"417",79.82544,771.2079
"418",79.81079,771.2213
"419",79.7937,771.23474
"420",79.781494,771.2479
"421",79.76929,771.2611
"422",79.75708,771.27454
"423",79.7522,771.28796
"424",79.74975,771.30115
"425",79.7522,771.31433
"426",79.75464,771.32776
"427",79.75708,771.3412
"428",79.75464,771.3544
"429",79.7522,771.36755
"430",79.742424,771.381
"431",79.727776,771.3944
"432",79.710686,771.4076
"433",79.69848,771.4208
"434",79.68871,771.4342
"435",79.68627,771.44763
"436",79.70336,771.4608
"437",79.74731,771.474
"438",79.82544,771.4874
"439",79.937744,771.50085
"440",80.079346,771.51404
"441",80.22827,771.5272
"442",80.365,771.54065
"443",80.46754,771.5541
"444",80.52613,771.56726
"445",80.54078,771.58044
"446",80.516365,771.5939
"447",80.46754,771.6073
"448",80.4065,771.6205
"449",80.34547,771.63367
"450",80.291756,771.6471
"451",80.24536,771.6605
"452",80.2063,771.6737
"453",80.16968,771.6869
"454",80.1355,771.7003
"455",80.09888,771.71375
"456",80.0647,771.7269
"457",80.03296,771.7401
"458",80.01587,771.75354
"459",80.008545,771.76697
"460",80.01587,771.78015
"461",80.028076,771.79333
"462",80.045166,771.80676
"463",80.05493,771.8202
"464",80.05737,771.8334
"465",80.05249,771.84656
"466",80.03784,771.86
"467",80.01831,771.8734
"468",79.9939,771.8866
"469",79.971924,771.8998
"470",79.94995,771.9132
"471",79.92554,771.92664
"472",79.90112,771.9398
"473",79.87671,771.953
"474",79.84741,771.96643
"475",79.823,771.97986
