"","ppg","time"
"1",82.52323,843.16943
"2",82.22781,843.1831
"3",81.62478,843.1958
"4",80.76784,843.2095
"5",79.725334,843.22217
"6",78.57786,843.23584
"7",77.39376,843.24854
"8",76.224304,843.2622
"9",75.11589,843.2749
"10",74.10513,843.2886
"11",73.22865,843.3013
"12",72.49378,843.31494
"13",71.91516,843.32764
"14",71.49279,843.3413
"15",71.21202,843.354
"16",71.04845,843.3677
"17",70.98497,843.3804
"18",71.00206,843.39404
"19",71.08751,843.40674
"20",71.22667,843.4204
"21",71.40978,843.4331
"22",71.624626,843.4468
"23",71.85901,843.4595
"24",72.09827,843.47314
"25",72.32777,843.48584
"26",72.532845,843.4995
"27",72.7013,843.5122
"28",72.81117,843.5259
"29",72.85756,843.5386
"30",72.83559,843.55225
"31",72.74769,843.56494
"32",72.59388,843.5786
"33",72.39124,843.5913
"34",72.149536,843.605
"35",71.91028,843.6177
"36",71.837036,843.63135
"37",72.359505,843.64404
"38",74.07095,843.6577
"39",77.349815,843.6704
"40",82.108185,843.6841
"41",87.83093,843.6968
"42",93.714806,843.71045
"43",98.86626,843.72314
"44",102.63828,843.7368
"45",104.84779,843.7495
"46",105.65835,843.7632
"47",105.304344,843.7759
"48",104.007935,843.78955
"49",101.996185,843.80225
"50",99.51324,843.8159
"51",96.798355,843.8286
"52",94.03952,843.8423
"53",91.37347,843.855
"54",88.87099,843.86865
"55",86.556496,843.88135
"56",84.44709,843.895
"57",82.6038,843.9077
"58",81.10719,843.9214
"59",80.03784,843.9341
"60",79.43481,843.94775
"61",79.27856,843.96045
"62",79.852295,843.9868
"63",80.27955,844.0005
"64",80.62623,844.0132
"65",80.79225,844.02686
"66",80.72877,844.03955
"67",80.41871,844.0532
"68",79.871826,844.0659
"69",79.114975,844.0796
"70",78.19943,844.0923
"71",77.16426,844.10596
"72",76.06317,844.11865
"73",74.95232,844.1323
"74",73.89029,844.145
"75",72.918594,844.1587
"76",72.07385,844.1714
"77",71.37316,844.18506
"78",70.82628,844.19775
"79",70.42344,844.2114
"80",70.15488,844.2241
"81",70.00107,844.2378
"82",69.944916,844.2505
"83",69.96689,844.26416
"84",70.0499,844.27686
"85",70.17441,844.2905
"86",70.32334,844.3032
"87",70.484474,844.3169
"88",70.64561,844.3296
"89",70.79698,844.34326
"90",70.93858,844.35596
"91",71.07042,844.3696
"92",71.19493,844.3823
"93",71.31457,844.396
"94",71.42931,844.4087
"95",71.54162,844.42236
"96",71.64416,844.43506
"97",71.72961,844.4487
"98",71.78577,844.4614
"99",71.79065,844.4751
"100",71.72961,844.4878
"101",71.60265,844.50146
"102",71.44152,844.51416
"103",71.38781,844.52783
"104",71.837036,844.5405
"105",73.392235,844.5542
"106",76.51484,844.5669
"107",81.20729,844.58057
"108",86.98375,844.59326
"109",93.03853,844.60693
"110",98.443886,844.6196
"111",102.450294,844.6333
"112",104.78432,844.646
"113",105.59243,844.65967
"114",105.15297,844.67236
"115",103.7174,844.68604
"116",101.52987,844.6987
"117",98.844284,844.7124
"118",95.89014,844.7251
"119",92.86275,844.7388
"120",89.91104,844.75146
